split,feature_position,feature,clipped_values,clipped_below_lower,clipped_above_upper,split_rows,fraction_of_split_rows_clipped,fraction_of_split_values_clipped,rows_with_at_least_one_clipped_feature
train,22,SRC_TO_DST_AVG_THROUGHPUT,7089,0,7089,13255011,0.0005348166063385386,1.4856016842737186e-05,128551
train,23,DST_TO_SRC_AVG_THROUGHPUT,22059,0,22059,13255011,0.0016642008067741325,4.6227800188170346e-05,128551
train,24,NUM_PKTS_UP_TO_128_BYTES,2250,0,2250,13255011,0.00016974712431396698,4.7151978976101946e-06,128551
train,25,NUM_PKTS_128_TO_256_BYTES,5402,0,5402,13255011,0.00040754398468624434,1.1320666241284564e-05,128551
train,26,NUM_PKTS_256_TO_512_BYTES,8574,0,8574,13255011,0.0006468497083857569,1.7968047455159914e-05,128551
train,27,NUM_PKTS_512_TO_1024_BYTES,4072,0,4072,13255011,0.0003072045734250994,8.533460372919428e-06,128551
train,28,NUM_PKTS_1024_TO_1514_BYTES,1909,0,1909,13255011,0.0001440210045846058,4.000583460683494e-06,128551
train,29,TCP_WIN_MAX_IN,0,0,0,13255011,0.0,0.0,128551
train,30,TCP_WIN_MAX_OUT,0,0,0,13255011,0.0,0.0,128551
train,31,ICMP_TYPE,0,0,0,13255011,0.0,0.0,128551
train,32,ICMP_IPV4_TYPE,0,0,0,13255011,0.0,0.0,128551
train,33,DNS_QUERY_ID,0,0,0,13255011,0.0,0.0,128551
train,34,DNS_QUERY_TYPE,46926,0,46926,13255011,0.0035402460246920955,9.834016735255821e-05,128551
train,35,DNS_TTL_ANSWER,40,0,40,13255011,3.0177266544705245e-06,8.382574040195902e-08,128551
validation,0,PROTOCOL,0,0,0,2821063,0.0,0.0,19032
validation,1,L7_PROTO,0,0,0,2821063,0.0,0.0,19032
validation,2,IN_BYTES,109,0,109,2821063,3.863791769272788e-05,1.0732754914646635e-06,19032
validation,3,IN_PKTS,117,0,117,2821063,4.1473728165588645e-05,1.1520480045996845e-06,19032
validation,4,OUT_BYTES,80,0,80,2821063,2.835810472860762e-05,7.877251313502117e-07,19032
validation,5,OUT_PKTS,84,0,84,2821063,2.9776009965038002e-05,8.271113879177223e-07,19032
validation,6,TCP_FLAGS,0,0,0,2821063,0.0,0.0,19032
validation,7,CLIENT_TCP_FLAGS,0,0,0,2821063,0.0,0.0,19032
validation,8,SERVER_TCP_FLAGS,0,0,0,2821063,0.0,0.0,19032
validation,9,FLOW_DURATION_MILLISECONDS,0,0,0,2821063,0.0,0.0,19032
validation,10,DURATION_IN,117,0,117,2821063,4.1473728165588645e-05,1.1520480045996845e-06,19032
validation,11,DURATION_OUT,1013,0,1013,2821063,0.000359084501125994,9.974569475722055e-06,19032
validation,12,MIN_TTL,0,0,0,2821063,0.0,0.0,19032
validation,13,MAX_TTL,0,0,0,2821063,0.0,0.0,19032
validation,14,LONGEST_FLOW_PKT,1,0,1,2821063,3.5447630910759525e-07,9.846564141877647e-09,19032
validation,15,SHORTEST_FLOW_PKT,13626,0,13626,2821063,0.004830094187900093,0.0001341692829972248,19032
validation,16,MIN_IP_PKT_LEN,42,0,42,2821063,1.4888004982519001e-05,4.1355569395886115e-07,19032
validation,17,MAX_IP_PKT_LEN,1,0,1,2821063,3.5447630910759525e-07,9.846564141877647e-09,19032
validation,18,RETRANSMITTED_IN_BYTES,706,0,706,2821063,0.00025026027422996223,6.951674284165618e-06,19032
validation,19,RETRANSMITTED_IN_PKTS,718,0,718,2821063,0.0002545139899392534,7.0698330538681495e-06,19032
validation,20,RETRANSMITTED_OUT_BYTES,47,0,47,2821063,1.6660386528056977e-05,4.6278851466824937e-07,19032
validation,21,RETRANSMITTED_OUT_PKTS,600,0,600,2821063,0.00021268578546455717,5.907938485126588e-06,19032
validation,22,SRC_TO_DST_AVG_THROUGHPUT,322,0,322,2821063,0.00011414137153264568,3.170593653684602e-06,19032
validation,23,DST_TO_SRC_AVG_THROUGHPUT,989,0,989,2821063,0.0003505770697074117,9.738251936316992e-06,19032
validation,24,NUM_PKTS_UP_TO_128_BYTES,117,0,117,2821063,4.1473728165588645e-05,1.1520480045996845e-06,19032
validation,25,NUM_PKTS_128_TO_256_BYTES,248,0,248,2821063,8.791012465868362e-05,2.441947907185656e-06,19032
validation,26,NUM_PKTS_256_TO_512_BYTES,417,0,417,2821063,0.00014781662089786721,4.106017247162978e-06,19032
validation,27,NUM_PKTS_512_TO_1024_BYTES,174,0,174,2821063,6.167887778472158e-05,1.7133021606867103e-06,19032
validation,28,NUM_PKTS_1024_TO_1514_BYTES,81,0,81,2821063,2.8712581037715214e-05,7.975716954920893e-07,19032
validation,29,TCP_WIN_MAX_IN,0,0,0,2821063,0.0,0.0,19032
validation,30,TCP_WIN_MAX_OUT,0,0,0,2821063,0.0,0.0,19032
validation,31,ICMP_TYPE,0,0,0,2821063,0.0,0.0,19032
validation,32,ICMP_IPV4_TYPE,0,0,0,2821063,0.0,0.0,19032
validation,33,DNS_QUERY_ID,0,0,0,2821063,0.0,0.0,19032
validation,34,DNS_QUERY_TYPE,2201,0,2201,2821063,0.0007802023563458171,2.1672287676272698e-05,19032
validation,35,DNS_TTL_ANSWER,3,0,3,2821063,1.0634289273227857e-06,2.9539692425632937e-08,19032
test,0,PROTOCOL,0,0,0,2817634,0.0,0.0,17289
test,1,L7_PROTO,0,0,0,2817634,0.0,0.0,17289
test,2,IN_BYTES,114,0,114,2817634,4.0459477703633615e-05,1.1238743806564893e-06,17289
test,3,IN_PKTS,115,0,115,2817634,4.0814385402788296e-05,1.1337329278552305e-06,17289
test,4,OUT_BYTES,72,0,72,2817634,2.555335433913702e-05,7.098153983093617e-07,17289
test,5,OUT_PKTS,73,0,73,2817634,2.59082620382917e-05,7.196739455081028e-07,17289
test,6,TCP_FLAGS,0,0,0,2817634,0.0,0.0,17289
test,7,CLIENT_TCP_FLAGS,0,0,0,2817634,0.0,0.0,17289
test,8,SERVER_TCP_FLAGS,0,0,0,2817634,0.0,0.0,17289
test,9,FLOW_DURATION_MILLISECONDS,0,0,0,2817634,0.0,0.0,17289
test,10,DURATION_IN,102,0,102,2817634,3.6200585313777446e-05,1.0055718142715958e-06,17289
test,11,DURATION_OUT,836,0,836,2817634,0.0002967028364933132,8.241745458147588e-06,17289
test,12,MIN_TTL,0,0,0,2817634,0.0,0.0,17289
test,13,MAX_TTL,0,0,0,2817634,0.0,0.0,17289
test,14,LONGEST_FLOW_PKT,2,0,2,2817634,7.098153983093617e-07,1.9717094397482268e-08,17289
test,15,SHORTEST_FLOW_PKT,12194,0,12194,2817634,0.004327744483492178,0.00012021512454144939,17289
test,16,MIN_IP_PKT_LEN,44,0,44,2817634,1.5615938762805957e-05,4.337760767446099e-07,17289
test,17,MAX_IP_PKT_LEN,2,0,2,2817634,7.098153983093617e-07,1.9717094397482268e-08,17289
test,18,RETRANSMITTED_IN_BYTES,683,0,683,2817634,0.00024240195852264702,6.733387736740195e-06,17289
test,19,RETRANSMITTED_IN_PKTS,738,0,738,2817634,0.00026192188197615447,7.2756078326709576e-06,17289
test,20,RETRANSMITTED_OUT_BYTES,49,0,49,2817634,1.739047725857936e-05,4.830688127383156e-07,17289
test,21,RETRANSMITTED_OUT_PKTS,605,0,605,2817634,0.00021471915798858192,5.964421055238386e-06,17289
test,22,SRC_TO_DST_AVG_THROUGHPUT,325,0,325,2817634,0.00011534500222527128,3.2040278395908686e-06,17289
test,23,DST_TO_SRC_AVG_THROUGHPUT,997,0,997,2817634,0.0003538429760572168,9.82897155714491e-06,17289
test,24,NUM_PKTS_UP_TO_128_BYTES,115,0,115,2817634,4.0814385402788296e-05,1.1337329278552305e-06,17289
test,25,NUM_PKTS_128_TO_256_BYTES,254,0,254,2817634,9.014655558528893e-05,2.5040709884802483e-06,17289
test,26,NUM_PKTS_256_TO_512_BYTES,401,0,401,2817634,0.00014231798736102702,3.953277426695195e-06,17289
test,27,NUM_PKTS_512_TO_1024_BYTES,168,0,168,2817634,5.9624493457986383e-05,1.6562359293885106e-06,17289
test,28,NUM_PKTS_1024_TO_1514_BYTES,73,0,73,2817634,2.59082620382917e-05,7.196739455081028e-07,17289
test,29,TCP_WIN_MAX_IN,0,0,0,2817634,0.0,0.0,17289
test,30,TCP_WIN_MAX_OUT,0,0,0,2817634,0.0,0.0,17289
test,31,ICMP_TYPE,0,0,0,2817634,0.0,0.0,17289
test,32,ICMP_IPV4_TYPE,0,0,0,2817634,0.0,0.0,17289
test,33,DNS_QUERY_ID,0,0,0,2817634,0.0,0.0,17289
test,34,DNS_QUERY_TYPE,2113,0,2113,2817634,0.0007499199683138406,2.0831110230940018e-05,17289
test,35,DNS_TTL_ANSWER,1,0,1,2817634,3.549076991546808e-07,9.858547198741134e-09,17289
